index	word	sent	sent_pos	story	story_pos
638	,	23	25	1	577
639	not	23	26	1	578
640	so	23	27	1	579
641	bold	23	28	1	580
642	as	23	29	1	581
643	the	23	30	1	582
644	first	23	31	1	583
645	but	23	32	1	584
646	a	23	33	1	585
647	little	23	34	1	586
648	more	23	35	1	587
649	cunning	23	36	1	588
650	,	23	37	1	588
651	came	23	38	1	589
652	on	23	39	1	590
653	the	23	40	1	591
654	scene	23	41	1	592
655	.	23	42	1	592
656	Seeing	24	0	1	593
657	the	24	1	1	594
658	slain	24	2	1	595
659	carcass	24	3	1	596
660	of	24	4	1	597
661	the	24	5	1	598
662	boar	24	6	1	599
663	,	24	7	1	599
664	the	24	8	1	600
665	huntsman	24	9	1	601
666	rejoiced	24	10	1	602
667	in	24	11	1	603
668	his	24	12	1	604
669	good	24	13	1	605
670	fortune	24	14	1	606
671	.	24	15	1	606
672	The	25	0	1	607
673	second	25	1	1	608
674	huntsman	25	2	1	609
675	knew	25	3	1	610
676	a	25	4	1	611
677	shortcut	25	5	1	612
678	to	25	6	1	613
679	the	25	7	1	614
680	Manor	25	8	1	615
681	House	25	9	1	616
682	was	25	10	1	617
683	just	25	11	1	618
684	around	25	12	1	619
685	the	25	13	1	620
686	nearby	25	14	1	621
687	pond	25	15	1	622
688	,	25	16	1	622
689	and	25	17	1	623
690	,	25	18	1	623
691	being	25	19	1	624
692	a	25	20	1	625
693	bigger	25	21	1	626
694	man	25	22	1	627
695	than	25	23	1	628
696	the	25	24	1	629
697	first	25	25	1	630
698	,	25	26	1	630
699	was	25	27	1	631
700	able	25	28	1	632
701	to	25	29	1	633
702	pick	25	30	1	634
703	up	25	31	1	635
704	the	25	32	1	636
705	boar	25	33	1	637
706	's	25	34	1	637
707	head	25	35	1	638
708	and	25	36	1	639
709	carry	25	37	1	640
710	it	25	38	1	641
711	through	25	39	1	642
712	the	25	40	1	643
713	wood	25	41	1	644
714	towards	25	42	1	645
715	the	25	43	1	646
716	prize	25	44	1	647
717	that	25	45	1	648
718	awaited	25	46	1	649
719	him	25	47	1	650
720	.	25	48	1	650
721	The	26	0	1	651
722	Lord	26	1	1	652
723	of	26	2	1	653
724	the	26	3	1	654
725	Manor	26	4	1	655
726	was	26	5	1	656
727	seated	26	6	1	657
728	in	26	7	1	658
729	his	26	8	1	659
730	hall	26	9	1	660
731	when	26	10	1	661
732	the	26	11	1	662
733	second	26	12	1	663
734	huntsman	26	13	1	664
735	burst	26	14	1	665
736	through	26	15	1	666
737	the	26	16	1	667
738	door	26	17	1	668
739	and	26	18	1	669
740	began	26	19	1	670
741	to	26	20	1	671
742	spin	26	21	1	672
743	a	26	22	1	673
744	line	26	23	1	674
745	.	26	24	1	674
746	'	27	0	1	675
747	The	27	1	1	675
748	woes	27	2	1	676
749	of	27	3	1	677
750	Bradford	27	4	1	678
751	are	27	5	1	679
752	ended	27	6	1	680
753	!	27	7	1	680
754	'	27	8	1	680
755	he	28	0	1	681
756	announced	28	1	1	682
757	.	28	2	1	682
758	'	29	0	1	683
759	With	29	1	1	683
760	my	29	2	1	684
761	own	29	3	1	685
762	hand	29	4	1	686
763	I	29	5	1	687
764	have	29	6	1	688
765	slain	29	7	1	689
766	the	29	8	1	690
767	boar	29	9	1	691
768	!	29	10	1	691
769	'	29	11	1	691
770	And	30	0	1	692
771	,	30	1	1	692
772	with	30	2	1	693
773	that	30	3	1	694
774	,	30	4	1	694
775	at	30	5	1	695
776	the	30	6	1	696
777	feet	30	7	1	697
778	of	30	8	1	698
779	his	30	9	1	699
780	lord	30	10	1	700
781	he	30	11	1	701
782	dropped	30	12	1	702
783	the	30	13	1	703
784	boar	30	14	1	704
785	's	30	15	1	704
786	enormous	30	16	1	705
787	head	30	17	1	706
788	.	30	18	1	706
789	'	31	0	1	707
790	Then	31	1	1	707
791	you	31	2	1	708
792	will	31	3	1	709
793	be	31	4	1	710
794	rewarded	31	5	1	711
795	,	31	6	1	711
796	as	31	7	1	712
797	I	31	8	1	713
798	promised	31	9	1	714
799	.	31	10	1	714
800	'	31	11	1	714
801	'	32	0	1	715
802	But	32	1	1	715
803	first	32	2	1	716
804	,	32	3	1	716
805	let	32	4	1	717
806	me	32	5	1	718
807	examine	32	6	1	719
808	the	32	7	1	720
809	head	32	8	1	721
810	of	32	9	1	722
811	this	32	10	1	723
812	monster	32	11	1	724
813	,	32	12	1	724
814	'	32	13	1	724
815	said	32	14	1	725
816	the	32	15	1	726
817	Lord	32	16	1	727
818	of	32	17	1	728
819	the	32	18	1	729
820	Manor	32	19	1	730
821	.	32	20	1	730
822	To	33	0	1	731
823	not	33	1	1	732
824	examine	33	2	1	733
825	the	33	3	1	734
826	head	33	4	1	735
827	in	33	5	1	736
828	advance	33	6	1	737
829	had	33	7	1	738
830	not	33	8	1	739
831	been	33	9	1	740
832	very	33	10	1	741
833	clever	33	11	1	742
834	on	33	12	1	743
835	the	33	13	1	744
836	part	33	14	1	745
837	of	33	15	1	746
838	the	33	16	1	747
839	huntsman	33	17	1	748
840	.	33	18	1	748
841	Right	34	0	1	749
842	away	34	1	1	750
843	,	34	2	1	750
844	the	34	3	1	751
845	Lord	34	4	1	752
846	noticed	34	5	1	753
847	the	34	6	1	754
848	tongue	34	7	1	755
849	of	34	8	1	756
850	the	34	9	1	757
851	boar	34	10	1	758
852	was	34	11	1	759
853	missing	34	12	1	760
854	and	34	13	1	761
855	exclaimed	34	14	1	762
856	,	34	15	1	762
857	'	34	16	1	763
858	What	34	17	1	763
859	is	34	18	1	764
860	this	34	19	1	765
861	?	34	20	1	765
862	A	35	0	1	766
863	boar	35	1	1	767
864	with	35	2	1	768
865	no	35	3	1	769
866	tongue	35	4	1	770
867	?	35	5	1	770
868	'	35	6	1	770
869	He	36	0	1	771
870	looked	36	1	1	772
871	at	36	2	1	773
872	the	36	3	1	774
873	huntsman	36	4	1	775
874	,	36	5	1	775
875	dubiously	36	6	1	776
876	.	36	7	1	776
877	'	37	0	1	777
878	How	37	1	1	777
879	come	37	2	1	778
880	this	37	3	1	779
881	creature	37	4	1	780
882	has	37	5	1	781
883	no	37	6	1	782
884	tongue	37	7	1	783
885	?	37	8	1	783
886	'	37	9	1	783
887	he	38	0	1	784
888	demanded	38	1	1	785
889	.	38	2	1	785
890	All	39	0	1	786
891	eyes	39	1	1	787
892	were	39	2	1	788
893	on	39	3	1	789
894	the	39	4	1	790
895	huntsman	39	5	1	791
896	.	39	6	1	791
897	The	40	0	1	792
898	huntsman	40	1	1	793
899	questioned	40	2	1	794
900	by	40	3	1	795
901	the	40	4	1	796
902	Lord	40	5	1	797
903	replied	40	6	1	798
904	,	40	7	1	798
905	'	40	8	1	799
906	I	40	9	1	799
907	can	40	10	1	800
908	not	40	11	1	800
909	say	40	12	1	801
910	,	40	13	1	801
911	my	40	14	1	802
912	Lord	40	15	1	803
913	.	40	16	1	803
914	'	40	17	1	803
915	He	41	0	1	804
916	was	41	1	1	805
917	suddenly	41	2	1	806
918	realizing	41	3	1	807
919	his	41	4	1	808
920	tricky	41	5	1	809
921	situation	41	6	1	810
922	could	41	7	1	811
923	end	41	8	1	812
924	badly	41	9	1	813
925	for	41	10	1	814
926	him	41	11	1	815
927	.	41	12	1	815
928	Through	42	0	1	816
929	the	42	1	1	817
930	door	42	2	1	818
931	at	42	3	1	819
932	this	42	4	1	820
933	moment	42	5	1	821
934	,	42	6	1	821
935	the	42	7	1	822
936	first	42	8	1	823
937	huntsman	42	9	1	824
938	burst	42	10	1	825
939	.	42	11	1	825
940	'	43	0	1	826
941	The	43	1	1	826
942	woes	43	2	1	827
943	of	43	3	1	828
944	Bradford	43	4	1	829
945	are	43	5	1	830
946	ended	43	6	1	831
947	!	43	7	1	831
948	'	43	8	1	831
949	he	44	0	1	832
950	cried	44	1	1	833
951	.	44	2	1	833
952	'	45	0	1	834
953	I	45	1	1	834
954	have	45	2	1	835
955	slain	45	3	1	836
956	the	45	4	1	837
957	boar	45	5	1	838
958	the	45	6	1	839
959	people	45	7	1	840
960	of	45	8	1	841
961	Bradford	45	9	1	842
962	dreaded	45	10	1	843
963	!	45	11	1	843
964	'	45	12	1	843
965	All	46	0	1	844
966	eyes	46	1	1	845
967	turned	46	2	1	846
968	to	46	3	1	847
969	the	46	4	1	848
970	man	46	5	1	849
971	who	46	6	1	850
972	now	46	7	1	851
973	stood	46	8	1	852
974	in	46	9	1	853
975	the	46	10	1	854
976	doorway	46	11	1	855
977	.	46	12	1	855
978	'	47	0	1	856
979	The	47	1	1	856
980	reward	47	2	1	857
981	is	47	3	1	858
982	already	47	4	1	859
983	given	47	5	1	860
984	,	47	6	1	860
985	'	47	7	1	860
986	said	47	8	1	861
987	the	47	9	1	862
988	Lord	47	10	1	863
989	of	47	11	1	864
990	the	47	12	1	865
991	Manor	47	13	1	866
992	.	47	14	1	866
993	'	48	0	1	867
994	The	48	1	1	867
995	man	48	2	1	868
996	here	48	3	1	869
997	has	48	4	1	870
998	brought	48	5	1	871
999	to	48	6	1	872
1000	me	48	7	1	873
1001	the	48	8	1	874
1002	boar	48	9	1	875
1003	's	48	10	1	875
1004	head	48	11	1	876
1005	.	48	12	1	876
1006	'	48	13	1	876
1007	'	49	0	1	877
1008	Then	49	1	1	877
1009	where	49	2	1	878
1010	is	49	3	1	879
1011	its	49	4	1	880
1012	tongue	49	5	1	881
1013	?	49	6	1	881
1014	'	49	7	1	881
1015	the	50	0	1	882
1016	first	50	1	1	883
1017	huntsman	50	2	1	884
1018	replied	50	3	1	885
1019	.	50	4	1	885
1020	And	51	0	1	886
1021	,	51	1	1	886
1022	so	51	2	1	887
1023	saying	51	3	1	888
1024	,	51	4	1	888
1025	he	51	5	1	889
1026	drew	51	6	1	890
1027	out	51	7	1	891
1028	the	51	8	1	892
1029	boar	51	9	1	893
1030	's	51	10	1	893
1031	tongue	51	11	1	894
1032	he	51	12	1	895
1033	had	51	13	1	896
1034	put	51	14	1	897
1035	in	51	15	1	898
1036	his	51	16	1	899
1037	hunting	51	17	1	900
1038	pouch	51	18	1	901
1039	and	51	19	1	902
1040	related	51	20	1	903
1041	how	51	21	1	904
1042	he	51	22	1	905
1043	had	51	23	1	906
1044	ambushed	51	24	1	907
1045	the	51	25	1	908
1046	creature	51	26	1	909
1047	in	51	27	1	910
1048	the	51	28	1	911
1049	wood	51	29	1	912
1050	and	51	30	1	913
1051	cut	51	31	1	914
1052	out	51	32	1	915
1053	its	51	33	1	916
1054	tongue	51	34	1	917
1055	as	51	35	1	918
1056	proof	51	36	1	919
1057	of	51	37	1	920
1058	his	51	38	1	921
1059	victory	51	39	1	922
1060	.	51	40	1	922
1061	Listening	52	0	1	923
1062	to	52	1	1	924
1063	the	52	2	1	925
1064	tale	52	3	1	926
1065	,	52	4	1	926
1066	the	52	5	1	927
1067	Lord	52	6	1	928
1068	of	52	7	1	929
1069	the	52	8	1	930
1070	Manor	52	9	1	931
1071	tried	52	10	1	932
1072	to	52	11	1	933
1073	discern	52	12	1	934
1074	which	52	13	1	935
1075	huntsman	52	14	1	936
1076	was	52	15	1	937
1077	telling	52	16	1	938
1078	him	52	17	1	939
1079	the	52	18	1	940
1080	truth	52	19	1	941
1081	and	52	20	1	942
1082	what	52	21	1	943
1083	the	52	22	1	944
1084	two	52	23	1	945
1085	huntsmen	52	24	1	946
1086	were	52	25	1	947
1087	thinking	52	26	1	948
1088	as	52	27	1	949
1089	they	52	28	1	950
1090	waited	52	29	1	951
1091	for	52	30	1	952
1092	him	52	31	1	953
1093	to	52	32	1	954
1094	make	52	33	1	955
1095	a	52	34	1	956
1096	decision	52	35	1	957
1097	.	52	36	1	957
1098	Almost	53	0	1	958
1099	instantly	53	1	1	959
1100	,	53	2	1	959
1101	the	53	3	1	960
1102	Lord	53	4	1	961
1103	saw	53	5	1	962
1104	that	53	6	1	963
1105	the	53	7	1	964
1106	second	53	8	1	965
1107	huntsman	53	9	1	966
1108	had	53	10	1	967
